Number|Gender|GivenName|Surname|StreetAddress|City|State|ZipCode|CountryFull|TelephoneNumber|Birthday|NationalID|Occupation|CCType
1|female|Julieta|Costa|Rua Califórnia 1207|Volta Redonda|RJ|27273-335|Brazil|(24) 6254-6061|11/28/1989|930.345.837-02|Building superintendent|Visa
2|female|Julia|Fernandes|Avenida II 1876|Maracanaú|CE|61900-370|Brazil|(85) 8857-3396|10/21/1973|165.385.003-58|Groundskeeping worker|Visa
3|female|Camila|Fernandes|Rua Centenário 1128|Foz do Iguaçu|PR|85859-110|Brazil|(45) 9225-3952|12/24/1992|937.944.855-48|Job placement specialist|Visa
4|male|Victor|Rodrigues|Rua Tacha 381|Arapongas|PR|86702-580|Brazil|(43) 8123-3218|2/27/1953|358.922.461-40|Environmental protection officer|MasterCard
5|male|Diego|Pinto|Rua Dezesseis 1620|Ribeirão das Neves|MG|33937-260|Brazil|(31) 7433-5247|9/14/1949|346.408.811-18|News camera operator|Visa
6|male|Davi|Santos|Rua A 758|Jaboatão dos Guararapes|PE|54480-000|Brazil|(81) 9223-9703|9/15/1945|241.267.037-48|Worker compensation coordinator|Visa
7|male|Caio|Correia|Rua Ângela Maria 674|Barueri|SP|06411-330|Brazil|(11) 9861-5530|4/2/1961|717.693.402-97|Customer services manager|MasterCard
8|male|Pedro|Martins|Rua Pedro Marcola 1496|Lins|SP|16402-010|Brazil|(19) 3173-7065|5/23/1980|175.557.104-63|Osteopathic physician|MasterCard
9|male|Rafael|Carvalho|Quadra Quadra QR 418 Conjunto L 143|Santa Maria|DF|72548-712|Brazil|(61) 3606-6230|12/3/1984|356.596.401-41|Mechanical inspector|Visa
10|female|Beatrice|Cunha|Rua Sl 10 661|São José dos Campos|SP|12229-835|Brazil|(12) 9332-8559|9/14/1948|413.394.110-16|Footwear and accessory designer|Visa
11|female|Melissa|Martins|Rua 234 1839|Goiânia|GO|74605-150|Brazil|(62) 9991-2597|4/11/1988|184.084.349-77|Train dispatcher|Visa
12|female|Nicole|Barbosa|Rua Nove 345|Jaboatão dos Guararapes|PE|54350-390|Brazil|(81) 8110-9296|4/11/1945|686.265.661-90|Dermatologist|Visa
13|male|Matheus|Araujo|Rua Três 1133|Paulista|PE|53421-650|Brazil|(81) 5225-5879|9/24/1985|344.391.198-67|Vending machine servicer|Visa
14|female|Yasmin|Barros|Rua A-72 674|Rondonópolis|MT|78735-415|Brazil|(66) 7782-9472|11/30/1932|875.253.983-05|Engraver|MasterCard
15|male|Marcos|Goncalves|Rua Monsenhor João Rodrigues 521|Belo Horizonte|MG|30518-150|Brazil|(31) 6471-8779|6/19/1975|725.118.430-30|Time clerk|MasterCard
16|female|Júlia|Pereira|Rua Pedro Américo 1916|Salvador|BA|40050-340|Brazil|(71) 8788-7208|6/19/1975|173.426.230-32|Linemen|MasterCard
17|male|Ryan|Sousa|Rua 2 743|Rio Claro|SP|13505-755|Brazil|(19) 5724-9086|10/25/1992|889.442.272-09|Motion picture camera operator|MasterCard
18|male|Gustavo|Azevedo|Rua DJ - 039 1839|Brusque|SC|88359-223|Brazil|(47) 4626-9491|12/28/1942|356.759.083-90|Cleaning and washing and and metal pickling equipment tender|MasterCard
19|male|Kaua|Carvalho|Quadra QNO 04 Conjunto L 235|Ceilândia|DF|72250-412|Brazil|(61) 6330-3849|5/18/1931|641.875.328-38|Airfield operations specialist|Visa
20|female|Evelyn|Cardoso|Avenida Segundo-Sargento Clarismundo da Silva 78|São José dos Campos|SP|12224-001|Brazil|(12) 7205-2054|5/7/1946|155.216.197-80|Dishwasher|MasterCard
21|male|Pedro|Lima|Praça Evaristo Lobato 627|Nova Iguaçu|RJ|26280-680|Brazil|(21) 8914-6559|10/7/1929|893.503.206-90|Structural engineer|Visa
22|female|Gabrielle|Martins|Rua Itaciara 1832|Manaus|AM|69090-190|Brazil|(92) 4788-9886|1/25/1952|456.462.006-10|Elevator mechanic|Visa
23|male|Arthur|Azevedo|Rua Álamo 1536|São Paulo|SP|08050-005|Brazil|(11) 3782-8994|9/28/1983|627.344.771-30|Administrative director|Visa
24|female|Bruna|Rocha|Rua Dez 69|Limeira|SP|13482-323|Brazil|(19) 8953-3496|5/28/1991|457.741.104-00|Coach|MasterCard
